mun_inegi,nom_ent,nom_mun,frec_corrup,frec_no_corrup,prop_corrup
29002,Tlaxcala,Apetatitlán de Antonio Carvajal,0,10431,0
29005,Tlaxcala,Apizaco,633,42794,1.4791793242043276
29009,Tlaxcala,Cuaxomulco,0,6224,0
29010,Tlaxcala,Chiautempan,0,58343,0
29017,Tlaxcala,Mazatecochco de José María Morelos,0,13680,0
29018,Tlaxcala,Contla de Juan Cuamatzi,0,16978,0
29022,Tlaxcala,Acuamanala de Miguel Hidalgo,0,1671,0
29023,Tlaxcala,Natívitas,0,2940,0
29024,Tlaxcala,Panotla,0,11372,0
29025,Tlaxcala,San Pablo del Monte,781,63009,1.2395054674729007
29026,Tlaxcala,Santa Cruz Tlaxcala,0,2630,0
29027,Tlaxcala,Tenancingo,0,1848,0
29028,Tlaxcala,Teolocholco,0,11128,0
29029,Tlaxcala,Tepeyanco,0,2850,0
29031,Tlaxcala,Tetla de la Solidaridad,453,29162,1.5533913997668198
29032,Tlaxcala,Tetlatlahuca,0,6052,0
29033,Tlaxcala,Tlaxcala,1219,68485,1.7799518142658974
29035,Tlaxcala,Tocatlán,497,4356,11.409550045913683
29036,Tlaxcala,Totolac,0,8241,0
29038,Tlaxcala,Tzompantepec,0,9187,0
29039,Tlaxcala,Xaloztoc,187,12759,1.4656321028293753
29040,Tlaxcala,Xaltocan,844,4392,19.216757741347905
29041,Tlaxcala,Papalotla de Xicohténcatl,0,13772,0
29042,Tlaxcala,Xicohtzinco,0,14157,0
29043,Tlaxcala,Yauhquemehcan,768,23787,3.2286543069743976
29044,Tlaxcala,Zacatelco,509,19010,2.6775381378221987
29048,Tlaxcala,La Magdalena Tlaltelulco,0,9127,0
29049,Tlaxcala,San Damián Texóloc,0,4262,0
29050,Tlaxcala,San Francisco Tetlanohcan,0,8463,0
29051,Tlaxcala,San Jerónimo Zacualpan,0,10016,0
29053,Tlaxcala,San Juan Huactzinco,0,4027,0
29054,Tlaxcala,San Lorenzo Axocomanitla,0,5137,0
29057,Tlaxcala,Santa Apolonia Teacalco,0,2076,0
29058,Tlaxcala,Santa Catarina Ayometla,0,7483,0
29060,Tlaxcala,Santa Isabel Xiloxoxtla,0,1539,0
30014,Veracruz de Ignacio de la Llave,Amatlán de los Reyes,1690,7605,22.22222222222222
30026,Veracruz de Ignacio de la Llave,Banderilla,0,16364,0
30028,Veracruz de Ignacio de la Llave,Boca del Río,0,87000,0
30030,Veracruz de Ignacio de la Llave,Camerino Z. Mendoza,0,19442,0
30039,Veracruz de Ignacio de la Llave,Coatzacoalcos,3546,218154,1.6254572457988392
30040,Veracruz de Ignacio de la Llave,Coatzintla,0,27343,0
30044,Veracruz de Ignacio de la Llave,Córdoba,6548,111540,5.870539716693563
30048,Veracruz de Ignacio de la Llave,Cosoleacaque,0,36453,0
30068,Veracruz de Ignacio de la Llave,Fortín,0,16273,0
30085,Veracruz de Ignacio de la Llave,Ixtaczoquitlán,0,12119,0
30087,Veracruz de Ignacio de la Llave,Xalapa,6046,344787,1.7535463924103867
30101,Veracruz de Ignacio de la Llave,Mariano Escobedo,0,16867,0
30108,Veracruz de Ignacio de la Llave,Minatitlán,2674,90635,2.950295139846638
30115,Veracruz de Ignacio de la Llave,Nogales,2438,55063,4.427655594500844
30118,Veracruz de Ignacio de la Llave,Orizaba,3726,100367,3.7123755816154715
30123,Veracruz de Ignacio de la Llave,Pánuco,2219,5546,40.01081860800577
30131,Veracruz de Ignacio de la Llave,Poza Rica de Hidalgo,0,134230,0
30133,Veracruz de Ignacio de la Llave,Pueblo Viejo,5960,35829,16.6345697619247
30135,Veracruz de Ignacio de la Llave,Rafael Delgado,0,22994,0
30138,Veracruz de Ignacio de la Llave,Río Blanco,0,8110,0
30175,Veracruz de Ignacio de la Llave,Tihuatlán,0,15798,0
30182,Veracruz de Ignacio de la Llave,Tlalnelhuayocan,0,13152,0
30189,Veracruz de Ignacio de la Llave,Tuxpan,0,90540,0
30193,Veracruz de Ignacio de la Llave,Veracruz,12584,441129,2.8526802817316477
31041,Yucatán,Kanasín,3898,54986,7.089077219655912
31050,Yucatán,Mérida,17484,657140,2.660620263566363
31059,Yucatán,Progreso,2605,48594,5.360744124789068
31101,Yucatán,Umán,698,21989,3.174314429942244
32010,Zacatecas,Fresnillo,633,90844,0.696798908018141
32017,Zacatecas,Guadalupe,308,80112,0.384461753545037
32056,Zacatecas,Zacatecas,1715,111805,1.5339206654443003
