"nom_ent","nom_mun","mun_inegi","anio","pobtot","cs_revenue_perCapita","cs_total_general_fund","cs_intergov_revs_total_revs","cs_propety_tax_total_revs","bs_operating_exp","bs_operating_balance","bs_expenditure_perCapita","lrs_direct_long_term_debt_pobtot","lrs_debt_service_total_rev","mun_tipo","graproes","pea","pe_inac","pocupada","pdesocup","psinder","pder_ss","analf","sbasc","ovsde","ovsee","ovsae","ovpt","vhac","pl.5000","po2sm","im_2020","gm_2020","imn_2020","egresos_total_de_egresos","egresos_servicios_personales","egresos_materiales_y_suministros","egresos_servicios_generales","egresos_transferencias_asignaciones_subsidios_y_otras_ayudas","egresos_bienes_muebles_inmuebles_e_intangibles","egresos_inversion_publica","egresos_deuda_publica","ingresos_total_de_ingresos","ingresos_impuestos","ingresos_contribuciones_de_mejoras","ingresos_derechos","ingresos_productos","ingresos_aprovechamientos","ingresos_participaciones_federales","ingresos_aportaciones_federales_y_estatales","ingresos_financiamiento","egresos_disponibilidad_final","egresos_otros_egresos","ingresos_otros_ingresos","ingresos_disponibilidad_inicial","egresos_inversiones_financieras_y_otras_provisiones","prop_corrup_per17","prop_corrup_inc17","prop_corrup5_inc17","prop_corrup_per19","prop_corrup_inc19","prop_corrup5_inc19","prop_corrup_per21","prop_corrup_inc21","prop_corrup5_inc21"
"Campeche","Calakmul","04010",2018,31714,7249.194457,0.036479,5.530101,0.008222,2.87233,1,7249.194457,462.209119,0.06376,"urbano",7.43,15391,7049,15360,31,7855,23832,13.200431,39.119745,3.919401,1.793892,21.902536,9.935887,46.496258,81.935423,88.669591,50.709372,"Alto",0.794038,229900953,73898032,20204727,20951612,14262954,0,79277996,14658500,229900953,1925112,0,2955553,190868,3315085,98719092,122795243,0,6647132,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campeche","Candelaria","04011",2018,46913,6788.162812,0.059175,4.789759,0.021168,2.575673,1,6788.162812,237.695863,0.035016,"urbano",7.25,23643,10888,23453,190,15220,31579,11.272578,44.089428,6.250268,6.980429,11.549827,8.658046,39.588844,76.294417,89.483964,50.513936,"Alto",0.790978,318453082,99705294,16146101,45261804,24836070,994042,117967077,11151026,318453082,6746486,638515,6334324,504256,4620993,139870410,159738098,0,2391668,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coahuila de Zaragoza","Abasolo","05001",2018,1022,46128.500978,0.011747,0.697966,0.006788,0.293189,0.861132,46128.500978,NA,NA,"rural",8.94,437,412,424,13,438,580,2.214022,33.333333,0.195886,0,0.391773,0,8.839779,100,72.941176,57.820148,"Muy bajo",0.905383,47143328,11824158,2012210,3016437,1121670,10300,29158553,0,47143328,320021,0,123049,0,33818,19187153,20932575,6546712,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coahuila de Zaragoza","Acuña","05002",2018,163058,3404.279496,0.322308,1.313123,0.141922,1.43815,0.952114,3404.279496,96.211839,0.028262,"metropolitano",9.4,82890,42887,81675,1215,31769,131001,1.684883,27.118247,0.169818,0.316255,0.590671,0.896511,18.769361,1.737419,87.167368,58.481712,"Muy bajo",0.915742,555095006,248318820,46482793,94149790,92899584,14252038,43303871,15688110,555095006,80476038,43550,79579363,2115796,6687578,207372998,147764437,26581165,0,0,4474081,0,0,26.86949664870548,17.46031746031746,8.950339523848482,NA,NA,NA,NA,NA,NA
"Coahuila de Zaragoza","Arteaga","05004",2018,29578,6962.947123,0.508655,0.472062,0.299969,0.552306,0.863405,6962.947123,NA,NA,"transición_rural-urbano",9.82,13734,9084,13503,231,8331,21158,3.696262,31.343632,0.926932,0.454916,3.130305,2.211803,18.139643,47.481236,58.294893,58.044987,"Muy bajo",0.908904,205950050,56636672,16715313,28869847,35371462,5645422,61511334,0,205950050,65793302,256622,10271933,0,14126288,54483912,32886237,28131756,0,1200000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coahuila de Zaragoza","Candela","05005",2018,1643,21077.882532,0.05432,1.135932,0.047451,0.910842,1,21077.882532,NA,NA,"rural",7.74,523,754,472,51,309,1329,7.419899,46.121417,0.791717,0.426309,0.91352,0.730816,18.936171,100,75.692964,55.919492,"Bajo",0.875621,34630961,17375343,4858292,4026638,2540255,596824,2520013,0,34630961,1697907,0,143899,19313,20052,26055732,6694058,0,2713596,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coahuila de Zaragoza","Castaños","05006",2018,29128,3603.638938,0.181955,0.418657,0.103226,0.384677,0.994657,3603.638938,50.673098,0.014062,"transición_rural-urbano",9.63,11732,10826,11187,545,4615,24490,1.590098,23.401698,0.329976,0.384972,3.096965,0.302478,18.378313,6.227685,61.026352,59.310624,"Muy bajo",0.928722,104966795,33771564,13312639,23039977,9650548,1332538,22383523,1476006,104966795,11921455,16202,3123417,870453,1043709,47157814,29160684,560807,0,0,11112254,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coahuila de Zaragoza","Cuatro Ciénegas","05007",2018,12715,4183.579394,0.102129,0.184561,0.062716,0.16337,0.941039,4183.579394,NA,NA,"transición_rural-urbano",8.91,5305,4401,5202,103,2543,10155,3.650283,33.784533,1.016709,2.600883,6.076608,1.56053,19.454016,18.246166,68.322148,57.220514,"Muy bajo",0.895994,53194212,24243526,4618606,10922812,6248704,0,7160564,0,53194212,3359428,0,907026,168185,677707,28588929,16356569,3136368,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coahuila de Zaragoza","Escobedo","05008",2018,3047,15975.424024,0.020926,0.896973,0.011717,0.409059,1,15975.424024,NA,NA,"rural",8.28,1029,1294,953,76,1087,1952,3.435639,36.692625,0.887866,0.295955,4.899704,0.230187,18.963615,100,75,56.443494,"Bajo",0.883827,48677117,11796641,3674887,6262848,3995319,2356374,13062065,0,48677117,570333,0,142756,256252,49281,39358640,8299855,0,7276567,252416,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coahuila de Zaragoza","Francisco I. Madero","05009",2018,59035,2557.402016,0.140492,2.192511,0.048451,1.853923,0.999306,2557.402016,34.1264,0.013344,"urbano",9.38,26513,18875,25967,546,13004,46009,2.88782,30.146239,0.971631,0.162778,1.537992,1.115765,17.422239,44.602355,77.510515,57.824673,"Muy bajo",0.905454,150976228,73049198,19586111,17014331,12986468,175092,25292220,2014652,150976228,7314898,0,9510300,2022619,2348390,68021460,61653833,104728,858156,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coahuila de Zaragoza","Frontera","05010",2018,82409,3294.719108,0.27603,3.823996,0.215556,3.627334,1,3294.719108,66.426094,0.020161,"urbano",10,36013,28388,34852,1161,13095,69234,1.500982,21.339072,0.130126,0.154449,0.383081,0.322275,17.841221,8.696866,50.310298,60.084271,"Muy bajo",0.940836,271514507,99778012,24774226,61906815,11859804,8857312,45606789,5474108,271514507,60090475,0,13951560,370602,533643,112071407,84496820,0,5809452,7447989,0,0,0,62.765148772895095,10.81081081081081,12.294837361981498,NA,NA,NA,NA,NA,NA
"Coahuila de Zaragoza","General Cepeda","05011",2018,11898,4705.670281,0.197141,0.91832,0.035256,0.529195,1,4705.670281,132.477643,0.028153,"transición_rural-urbano",8.41,4896,4265,4859,37,2367,9500,4.6785,32.788462,1.924055,0.449229,1.517206,0.829946,21.136766,53.479576,74.961079,57.121002,"Muy bajo",0.894435,55988065,16293274,3777507,5832559,11450468,2945358,12292924,1576219,55988065,2886933,0,5294249,578829,2277540,27364610,17585904,0,1819756,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
